Feature,Chime,Zoom Video SDK,Daily,Agora,LiveKit,Whereby Embedded,100ms,Vonage Video API,Stream Video,Dyte,Jitsi
Usage,$0.0017/min attendee + AWS infra costs,"Credit-based, $0.65-$1.20/host/mo","10K free min/mo, $0.004/participant-min","10K free min/mo, $3.99/1K min (HD video)","10K free min/mo (Build), $0.003/min+ (Ship), free OSS self-hosted","2K free min/mo, $6.99/mo starter, $0.004/min after","10K free min/mo, $4.00/1K min video, $1.00/1K min audio","$0.004/participant-min, custom/enterprise pricing","$200/mo free, ~$0.004/min after, bundled with Chat","10K free min/mo, $4/1K min video",Free OSS (self-hosted) or JaaS (8x8) paid tiers
Backend API,AWS SDK / REST API,REST API + Webhooks,REST API,REST API,REST API,REST API,REST API,REST API + Server SDKs,REST API + Server SDKs,REST API,External API (iframe commands)
UI SDK,yes (React Component Library),yes (Video SDK + UI Toolkit),yes (Prebuilt + React),yes (UIKit + Flexible Classroom),yes (React components),yes (Web Component + React Hooks),yes (React SDK + Prebuilt/RoomKit),,yes (full component library),yes (UI Kit + React),yes (React SDK + iframe)
Meetings,meetings,sessions,rooms,channels,rooms,rooms,rooms,sessions,calls,meetings,rooms
Users,attendees,users,participants,users,participants,participants,peers,participants,participants,participants,participants
Roles / Permissions,attendee capabilities (UpdateAttendeeCapabilities; fine-grained mute/ban per attendee),roles (host/attendee; session.getRole()),permissions (canAdmin flags in meeting tokens),"roles (ClientRole: host/audience, plus Flexible Classroom teacher/student)","permissions (canPublish, canSubscribe, canPublishData)",host vs participant (host URL grants control; participant URL limited),roles (central concept; template-defined roles with publish/subscribe strategies + granular permissions),roles (publisher/subscriber/moderator in tokens),"roles and capabilities (granular capabilities like send-video, mute-users, block-users)",presets (preset defines permissions per participant),"moderator vs participant (lobby moderation, AV moderation)"
Customisable UI components,yes,yes,yes,yes,yes,limited (style web component; Browser SDK for full control),yes,yes,yes,yes,"yes (config overrides, CSS)"
Screen sharing,content share (up to 2 simultaneous),screen share,screen sharing,screen sharing,screen sharing,screen sharing,screen share,screen sharing,screen sharing,screen sharing,content sharing
Recording,media capture (to S3),cloud recording,"cloud recording (S3), local recording",cloud recording,"egress (cloud storage, composited)","cloud recording, local recording","cloud recording, browser-based recording",archiving (recording),"recording (individual, composite)",recorded chat transcripts,"recording (file, local, stream)"
Live streaming,Media Live Connector (RTMP/RTMPS),live stream client,live streaming (RTMP),interactive live streaming,"egress (RTMP, HLS)",RTMP (paid feature),HLS streaming,"broadcasting (HLS, RTMP)",livestream call type,RTMP live streaming,live streaming (RTMP)
Noise suppression,Amazon Voice Focus (ML-based noise suppressor; built-in),Background noise suppression (built-in; enableBackgroundNoiseSuppression),"noise-cancellation (built-in, Krisp partnership)",AI Noise Suppression / AINS (built-in core SDK),Krisp noise filter (@livekit/krisp-noise-filter; included on all Cloud tiers),Noise reduction on/off (Pre-built UI only; not in React Hooks),Noise Cancellation (Krisp AI; optional plugin @100mslive/hms-noise-cancellation),advancedNoiseSuppression (Media Processor audio transformer),Krisp.ai (@stream-io/audio-filters-web; included),Krisp.ai (@dytesdk/krisp-noise-cancellation; paid addon),noise-suppression (built-in feature)
Microphone volume monitor,useLocalAudioInputActivity(cb) hook (0-1),"current-audio-level-change event, getUserVolume()",startLocalAudioLevelObserver() / useAudioLevelObserver (0.0-1.0),"onAudioVolumeIndication callback (3 loudest speakers, volume levels)","useTrackVolume (0-1), BarVisualizer component",,selectSpeakers / onAudioLevelUpdate (0-100),audioLevelUpdated event (0-1.0),"useMicrophoneState() + createSoundDetector(), audioLevel (0-100)",DyteAudioVisualizer UI component (no numeric API documented),Audio level indicator; disableAudioLevels config
Background blur,background replacement or blur (v1: 10-40%; v2: low/medium/high),virtual background (blur; startVideo with 'blur'),virtual backgrounds (blur option),"virtual background (blur, image, video)",background processor (blur mode),? (Camera Effects SDK / switchCameraEffect()),virtual background (blur via HMSEffectsPlugin),background blur & replacement (Media Processor),background blur & replacement (built-in filters),virtual background (blur; createBackgroundBlurVideoMiddleware),virtual background (slight-blur / blur)
Background images,background replacement or blur (image via backgroundImageURL),virtual background (image via imageUrl),virtual backgrounds (image option),"virtual background (blur, image, video)",background processor (image mode),? (supported via URL param ?virtualBackgroundUrl=),virtual background (image via setBackground),background blur & replacement (Media Processor),background blur & replacement (built-in filters),virtual background (image; createStaticBackgroundVideoMiddleware),virtual background (image / toggleVirtualBackgroundDialog)
Name labels,name labels (build manually from realtimeSubscribeToAttendeeIdPresence),name display on video tiles (build yourself from user-updated events),name labels on video tiles (built-in Prebuilt),displayName on video tiles (SDK controlled),name labels on video tiles (via UI components),name labels on video tiles (Pre-built UI),name labels on video tiles (built-in Prebuilt; HMSPeer.name on tiles),style.nameDisplayMode (auto/off/on on Publisher/Subscriber),name labels on video tiles (built-in; participant.name in UI components),DyteNameTag component (name on video tiles),display name on video tiles (built-in; interface_config configuration)
